prop,propLabel,count,total humans with ID,SDBM is % of total,Reviewer(s),Query,Thoughts
http://www.wikidata.org/entity/P4230,"""Sefaria ID""@en",6,6,100.00,,,
http://www.wikidata.org/entity/P1051,"""PSH ID""@en",2,2,100.00,,,
http://www.wikidata.org/entity/P9286,"""Encyclopaedia Herder concept ID""@en",1,1,100.00,,,
http://www.wikidata.org/entity/P4672,"""Early Modern Letters Online location ID""@en",1,1,100.00,,,
http://www.wikidata.org/entity/P8897,"""Reliwiki page ID""@en",1,1,100.00,,,
http://www.wikidata.org/entity/P9041,"""DiVo person ID""@en",66,86,76.74,,,
http://www.wikidata.org/entity/P8566,"""monumenta.ch ID""@en",204,272,75.00,,,
http://www.wikidata.org/entity/P10782,"""Encyclopedia of Medieval Philosophy ID""@en",157,216,72.69,,,
http://www.wikidata.org/entity/P7042,"""The Latin Library author ID""@en",174,256,67.97,,,
http://www.wikidata.org/entity/P9017,"""Medieval Manuscripts in Oxford Libraries person ID""@en",1755,2584,67.92,,,
http://www.wikidata.org/entity/P9653,"""Bod-Inc Online author ID""@en",588,929,63.29,,,
http://www.wikidata.org/entity/P3126,"""ALCUIN philosopher ID""@en",342,566,60.42,,,
http://www.wikidata.org/entity/P9039,"""Studium Parisiense ID""@en",90,151,59.60,,,
http://www.wikidata.org/entity/P9062,"""BABEL author ID""@en",370,654,56.57,,,
http://www.wikidata.org/entity/P6862,"""digilibLT author ID""@en",72,130,55.38,,,
http://www.wikidata.org/entity/P6831,"""Pinakes author ID""@en",681,1260,54.05,,,
http://www.wikidata.org/entity/P1453,"""catholic.ru ID""@en",3,6,50.00,,,
http://www.wikidata.org/entity/P9412,"""Arca author ID""@en",2,4,50.00,,,
http://www.wikidata.org/entity/P8519,"""RKD thesaurus ID""@en",1,2,50.00,,,
http://www.wikidata.org/entity/P3057,"""Charity Commission no.""@en",1,2,50.00,,,
http://www.wikidata.org/entity/P9563,"""Encyclopedia of Renaissance Philosophy ID""@en",251,556,45.14,,,
http://www.wikidata.org/entity/P4549,"""ARLIMA ID""@en",527,1216,43.34,,,
http://www.wikidata.org/entity/P7620,"""Treccani's Enciclopedia dei Papi ID""@en",45,105,42.86,,,
http://www.wikidata.org/entity/P7331,"""Letteraturaitaliana.net author ID""@en",30,70,42.86,,,
http://www.wikidata.org/entity/P9485,"""CofE archives name ID""@en",3,7,42.86,,,
http://www.wikidata.org/entity/P7038,"""Documenta Catholica Omnia author ID""@en",635,1523,41.69,,,
http://www.wikidata.org/entity/P7986,"""Mirabile author ID""@en",1498,3712,40.36,,,
http://www.wikidata.org/entity/P3293,"""BALaT object ID""@en",2,5,40.00,,,
http://www.wikidata.org/entity/P7990,"""Mirabile saint ID""@en",2,5,40.00,,,
http://www.wikidata.org/entity/P11252,"""Trismegistos author ID""@en",741,1907,38.86,,,
http://www.wikidata.org/entity/P6999,"""Musisque Deoque author ID""@en",90,237,37.97,,,
http://www.wikidata.org/entity/P7935,"""Corpus Corporum author ID""@en",797,2116,37.67,,,
http://www.wikidata.org/entity/P8975,"""Manus Online author ID""@en",79,215,36.74,,,
http://www.wikidata.org/entity/P9336,"""Das wissenschaftliche Bibellexikon im Internet ID""@en",9,25,36.00,,,
http://www.wikidata.org/entity/P8122,"""DLL Catalog author ID""@en",1064,3065,34.71,,,
http://www.wikidata.org/entity/P6934,"""Syriac Biographical Dictionary ID""@en",109,315,34.60,,,
http://www.wikidata.org/entity/P5492,"""EDIT16 catalogue author ID""@en",1129,3335,33.85,,,
http://www.wikidata.org/entity/P1256,"""Iconclass notation""@en",76,225,33.78,,,
http://www.wikidata.org/entity/P3971,"""PASE Domesday person ID""@en",1,3,33.33,,,
http://www.wikidata.org/entity/P6947,"""Goodreads series ID""@en",1,3,33.33,,,
http://www.wikidata.org/entity/P8065,"""CIRIS author ID""@en",689,2108,32.69,,,
http://www.wikidata.org/entity/P4212,"""PACTOLS thesaurus ID""@en",462,1418,32.58,,,
http://www.wikidata.org/entity/P7992,"""Poeti d'Italia in lingua latina author ID""@en",97,299,32.44,,,
http://www.wikidata.org/entity/P9000,"""World History Encyclopedia ID""@en",201,620,32.42,,,
http://www.wikidata.org/entity/P3123,"""Stanford Encyclopedia of Philosophy ID""@en",139,446,31.17,,,
http://www.wikidata.org/entity/P10536,"""RSPA ancient author ID""@en",186,603,30.85,,,
http://www.wikidata.org/entity/P9678,"""Franciscan Center of Christian Oriental Studies ID""@en",348,1156,30.10,,,
http://www.wikidata.org/entity/P8472,"""Encyclopedie berbere keyword ID""@en",3,10,30.00,,,
http://www.wikidata.org/entity/P1149,"""Library of Congress Classification""@en",122,415,29.40,,,
http://www.wikidata.org/entity/P10887,"""Base Budé person ID""@en",339,1156,29.33,,,
http://www.wikidata.org/entity/P9123,"""Catalan Vikidia ID""@en",14,49,28.57,,,
http://www.wikidata.org/entity/P7819,"""OrthodoxWiki ID (English)""@en",113,397,28.46,,,
http://www.wikidata.org/entity/P10864,"""Bibale ID""@en",1898,6778,28.00,,,
http://www.wikidata.org/entity/P9282,"""Catalogue of the Capitular Library of Verona author ID""@en",1026,3721,27.57,,,
http://www.wikidata.org/entity/P3576,"""TLG author ID""@en",550,2030,27.09,,,
http://www.wikidata.org/entity/P7041,"""Perseus author ID""@en",509,1944,26.18,,,
http://www.wikidata.org/entity/P6941,"""PHI Latin Texts author ID""@en",83,329,25.23,,,
http://www.wikidata.org/entity/P9407,"""Polignosi ID""@en",101,401,25.19,,,
http://www.wikidata.org/entity/P6296,"""bgm.tv character ID""@en",3,12,25.00,,,
http://www.wikidata.org/entity/P9278,"""Pandektis ID""@en",1,4,25.00,,,
http://www.wikidata.org/entity/P8096,"""Pinakes copyist or possessor ID""@en",1,4,25.00,,,
http://www.wikidata.org/entity/P9027,"""e-GEDSH ID""@en",1,4,25.00,,,
http://www.wikidata.org/entity/P3235,"""PhilPapers topic""@en",52,215,24.19,,,
http://www.wikidata.org/entity/P10059,"""Philosophica ID""@en",18,75,24.00,,,
http://www.wikidata.org/entity/P1014,"""Art & Architecture Thesaurus ID""@en",5,21,23.81,,,
http://www.wikidata.org/entity/P5441,"""Encyclopaedia Herder person ID""@en",148,626,23.64,,,
http://www.wikidata.org/entity/P5604,"""archINFORM keyword ID""@en",21,89,23.60,,,
http://www.wikidata.org/entity/P9983,"""Enciclopedia dei ragazzi ID""@en",4,17,23.53,,,
http://www.wikidata.org/entity/P8408,"""KBpedia ID""@en",45,199,22.61,,,
http://www.wikidata.org/entity/P1900,"""EAGLE id""@en",18,80,22.50,,,
http://www.wikidata.org/entity/P6223,"""L'Encyclopédie philosophique ID""@en",4,18,22.22,,,
http://www.wikidata.org/entity/P9850,"""Enciclopedia dell'Arte Medievale ID""@en",4,18,22.22,,,
http://www.wikidata.org/entity/P8051,"""Geschichtsquellen des deutschen Mittelalters author ID""@en",235,1066,22.05,,,
http://www.wikidata.org/entity/P7908,"""Clavis Clavium ID""@en",158,725,21.79,,,
